name;descriptor;nomenclature;abb;nameTraits;layer;lifeform;lifeformEllenberg;ldmc;height;seedmass;l;f;n;flood;chwet;legal;rlg;rlb;neophyte;continuity;sociality
Lonicera_xylosteum;L.;PL;Lonixylo;Lonicera_xylosteum;herb;wood;N;NA;1,5;6,01;5;5;6;no;no;NA;NA;NA;no;9;84000
Lycopus_europaeus;L.;PL;Lycoeuro;Lycopus_europaeus;herb;perannual;H,A;103,92;0,65;0,23;7;9;7;yes;no;NA;NA;NA;no;1;15000
Lysimachia_vulgaris;L.;PL;Lysivulg;Lysimachia_vulgaris;herb;perannual;H;198;0,97;0,35;6;8;NA;no;yes;NA;NA;NA;no;2;NA
Melica_nutans;L.;PL;Melinuta;Melica_nutans;herb;perannual;G,H;340;0,23;2,03;4;4;3;no;yes;NA;NA;NA;no;4;84000
Mentha_aquatica;L.;PL;Mentaqua;Mentha_aquatica;herb;perannual;H,A;179;0,48;0,14;7;9;5;yes;no;NA;NA;NA;no;5;15100
Mentha_aquatica_x_spicata;na;PL;Menthaaqxsp;Mentha_aquatica_x_spicata;herb;NA;NA;NA;NA;NA;NA;NA;NA;no;no;NA;NA;NA;NA;1;NA
Mercurialis_perennis;L.;PL;Mercpere;Mercurialis_perennis;herb;perannual;G,H;224,5;0,23;2,17;2;NA;7;no;no;NA;NA;NA;no;15;84300
Molinia_arundinacea;Schrank;RM;Moliarun;Molinia_arundinacea;herb;perannual;H;NA;0,79;NA;7;NA;3;no;yes;NA;NA;NA;no;2;NA
Molinia_caerulea;(L.) Moench;PL;Molicaer;Molinia_caerulea;herb;perannual;H;380,21;NA;0,7;7;7;2;no;no;NA;NA;NA;no;1;NA
Myosotis_scorpioides;L.;PL;Myosscor;Myosotis_scorpioides;herb;perannual;H;147;0,3;0,3;7;8;5;no;yes;NA;NA;NA;no;1;54150
Neottia_ovata;(L.) R.Br.;PL;Listovat;Neottia_ovata;herb;perannual;G;119;0,14;NA;6;6;7;no;yes;BG;NA;NA;no;1;NA
